Índice de precios al consumidor (IPC)
Niveles y variaciones, (Diciembre 2020=100)


Fecha;IPC, nivel;IPC, variación mensual (%);IPC, variación interanual (%);IPC, variación acumulada (%)
1976-01-31;0.46341811;;;
1976-02-29;0.46729440;0.83645631;;
1976-03-31;0.46588399;-0.30182472;;
1976-04-30;0.46889162;0.64557488;;
1976-05-31;0.46803230;-0.18326623;;
1976-06-30;0.47413163;1.30318570;;
1976-07-31;0.47599972;0.39400240;;
1976-08-31;0.47804529;0.42974185;;
1976-09-30;0.47381405;-0.88511279;;
1976-10-31;0.47240364;-0.29767163;;
1976-11-30;0.47376735;0.28867474;;
1976-12-31;0.47541127;0.34698888;;
1977-01-31;0.47768101;0.47742663;3.07776060;0.47742544
1977-02-28;0.47946504;0.37347727;2.60449087;0.85268576
1977-03-31;0.48315452;0.76949927;3.70704518;1.62874769
1977-04-30;0.48879617;1.16766992;4.24502148;2.81543479
1977-05-31;0.48925385;0.09363412;4.53420629;2.91170576
1977-06-30;0.49667952;1.51775402;4.75561818;4.47365319
1977-07-31;0.49777236;0.22002921;4.57408672;4.70352470
1977-08-31;0.49558669;-0.43909027;3.66940128;4.24378168
1977-09-30;0.49422298;-0.27517083;4.30737121;3.95693347
1977-10-31;0.49398947;-0.04724790;4.56936149;3.90781563
1977-11-30;0.49626854;0.46136004;4.74941762;4.38720578
1977-12-31;0.50036901;0.82626031;5.24971568;5.24971512
1978-01-31;0.50515133;0.95575863;5.75076660;0.95575882
1978-02-28;0.50397443;-0.23297969;5.11182004;0.72055255
1978-03-31;0.50546891;0.29653885;4.61847899;1.01922718
1978-04-30;0.51130670;1.15492563;4.60530000;2.18592496
1978-05-31;0.51745273;1.20202415;5.76365010;3.41422438
1978-06-30;0.52460753;1.38269635;5.62294374;4.84412918
1978-07-31;0.52633552;0.32938719;5.73819728;5.18947172
1978-08-31;0.52291691;-0.64951155;5.51472034;4.50625350
1978-09-30;0.52834372;1.03779585;6.90391612;5.59081576
1978-10-31;0.52956732;0.23159166;7.20214745;5.83535561
1978-11-30;0.53162222;0.38803376;7.12390110;6.24603323
1978-12-31;0.54096269;1.75697509;8.11274863;8.11274967
1979-01-31;0.54441867;0.63885737;7.77338149;0.63885627
1979-02-28;0.54405439;-0.06691174;7.95277649;0.57151737
1979-03-31;0.54424120;0.03433664;7.67055881;0.60605014
1979-04-30;0.54797739;0.68649525;7.17195570;1.29670557
1979-05-31;0.55339486;0.98863021;6.94597360;2.29815595
1979-06-30;0.56683580;2.42881548;8.04949750;4.78278887
1979-07-31;0.57071209;0.68384707;8.43123223;5.49934388
1979-08-31;0.56989013;-0.14402358;8.98292235;5.34739968
1979-09-30;0.57594276;1.06206963;9.00910491;6.46626148
1979-10-31;0.58929029;2.31750982;11.27769176;8.93362801
1979-11-30;0.60259112;2.25709302;13.34949845;11.39236135
1979-12-31;0.61211840;1.58105217;13.15353375;13.15353270
1980-01-31;0.62369124;1.89062116;14.56095729;1.89062166
1980-02-29;0.62678294;0.49571002;15.20593373;2.39570299
1980-03-31;0.65061048;3.80156167;19.54451078;6.28833888
1980-04-30;0.65293626;0.35747657;19.15386874;6.66829432
1980-05-31;0.65539280;0.37622968;18.43131322;7.06961272
1980-06-30;0.67306497;2.69642419;18.74073056;9.95666372
1980-07-31;0.67931375;0.92840666;19.02915006;10.97750786
1980-08-31;0.68026647;0.14024742;19.36800344;11.13315226
1980-09-30;0.68896245;1.27831966;19.62342404;12.55378887
1980-10-31;0.69679911;1.13745822;18.24377931;13.83404035
1980-11-30;0.70914721;1.77211765;17.68298378;15.85131382
1980-12-31;0.72099093;1.67013560;17.78618810;17.78618732
1981-01-31;0.75652208;4.92809944;21.29753177;4.92809949
1981-02-28;0.77493214;2.43351258;23.63644422;7.48153906
1981-03-31;0.78918570;1.83933009;21.29926035;9.45847908
1981-04-30;0.81428355;3.18022108;24.71103228;12.93949994
1981-05-31;0.85232728;4.67204944;30.04831301;18.21609017
1981-06-30;0.87842456;3.06188487;30.51110950;21.83573002
1981-07-31;0.93059109;5.93864657;36.98987986;29.07112320
1981-08-31;0.94593748;1.64910133;39.05396219;31.19963726
1981-09-30;0.96853208;2.38859338;40.57835518;34.33346288
1981-10-31;1.03786639;7.15870041;48.94772038;43.94999352
1981-11-30;1.10510844;6.47887345;55.83625296;53.27633113
1981-12-31;1.19029353;7.70830146;65.09133201;65.09133307
1982-01-31;1.30695601;9.80115216;72.75847521;9.80115197
1982-02-28;1.35087490;3.36039543;74.32170254;13.49090510
1982-03-31;1.43788138;6.44075036;82.19810369;20.80057128
1982-04-30;1.49682909;4.09962260;83.82160489;25.75293878
1982-05-31;1.57003970;4.89104671;84.20620070;31.90357361
1982-06-30;1.67349475;6.58932701;90.51092447;40.59513160
1982-07-31;1.85306530;10.73027268;99.12777158;55.68137232
1982-08-31;1.91975626;3.59895358;102.94747809;61.28427264
1982-09-30;2.02321131;5.38896797;108.89460987;69.97583063
1982-10-31;2.08470897;3.03960638;100.86486951;75.14242667
1982-11-30;2.11683085;1.54083282;91.54960485;77.84107852
1982-12-31;2.16338376;2.19917950;81.75212294;81.75212267
1983-01-31;2.22005239;2.61944418;69.86435450;2.61944442
1983-02-28;2.24269369;1.01985431;66.01786664;3.66601328
1983-03-31;2.26110376;0.82089097;57.25245430;4.51699811
1983-04-30;2.29818543;1.63998091;53.53692986;6.23105684
1983-05-31;2.35631118;2.52920192;50.07971964;8.91785471
1983-06-30;2.37562727;0.81975972;41.95606350;9.81071956
1983-07-31;2.33522039;-1.70089309;26.01932538;7.94295682
1983-08-31;2.32706616;-0.34918460;21.21675071;7.56603660
1983-09-30;2.32474039;-0.09994430;14.90348925;7.45853014
1983-10-31;2.34820365;1.00928517;12.63939877;8.54309325
1983-11-30;2.36323247;0.64001348;11.64011853;9.23778355
1983-12-31;2.39489666;1.33986776;10.70142544;10.70142565
1984-01-31;2.43106296;1.51014032;9.50475633;1.51014041
1984-02-29;2.45001478;0.77956928;9.24428917;2.30148206
1984-03-31;2.48135206;1.27906494;9.74074272;3.60998440
1984-04-30;2.51187671;1.23016199;9.29826102;4.88455538
1984-05-31;2.54126183;1.16984723;7.84916065;6.11154446
1984-06-30;2.58394779;1.67971515;8.76907428;7.89391576
